user_id	bucket	timestamp	block reason
25362422	treatment	20150601213109	abuse
25362774	treatment	20150601213848	hard username
25362796	treatment	20150601214056	abuse
25347900	treatment	20150601214505	hard username
25362860	treatment	20150601214727	hard username
25343518	treatment	20150601214734	abuse
25342046	treatment	20150601214736	abuse
25362453	control	20150601214801	abuse
25360402	treatment	20150601215939	abuse
25360729	control	20150601220400	abuse
25362992	treatment	20150601220455	hard username
25363005	control	20150601220632	hard username
25363013	control	20150601220843	hard username
25362902	treatment	20150601221517	abuse
25361953	control	20150601221555	hard username
25363066	treatment	20150601221646	hard username
25363036	treatment	20150601222747	abuse
25363183	control	20150601223507	hard username
25363194	treatment	20150601223703	hard username
25363210	treatment	20150601223911	hard username
25363288	treatment	20150601225433	abuse
25354447	control	20150601225739	abuse
25351759	control	20150601230949	hard username
25355564	treatment	20150601233051	spam
25352903	control	20150601233148	hard username
25357835	control	20150601233330	spam
25361147	control	20150601233525	soft username
25361393	control	20150601233646	hard username
25362109	control	20150601233858	spam
25361817	control	20150601234226	hard username
25344822	treatment	20150601234703	hard username
25363549	control	20150601235046	abuse
25363461	control	20150601235127	abuse
25362901	control	20150602000650	hard username
25363562	treatment	20150602001132	abuse
25363580	treatment	20150602001318	abuse
25363649	control	20150602002913	abuse
25363727	control	20150602003007	abuse
25363844	treatment	20150602004843	abuse
25363835	control	20150602005704	abuse
25364043	control	20150602012718	hard username
25347181	control	20150602013143	hard username
25354547	control	20150602014118	abuse
25358562	treatment	20150602015154	abuse
25364175	control	20150602015216	abuse
25364105	control	20150602020217	abuse
25363359	control	20150602020458	hard username
25364324	treatment	20150602020813	abuse
25364414	treatment	20150602021415	abuse
25363994	treatment	20150602022535	abuse
25360770	treatment	20150602025214	abuse
25364536	treatment	20150602025949	abuse
25364632	treatment	20150602030139	abuse
25364719	control	20150602030845	abuse
25364736	treatment	20150602032713	abuse
25364768	treatment	20150602032716	abuse
25364071	control	20150602033013	hard username
25359199	control	20150602033033	abuse
25364492	treatment	20150602033400	hard username
25363882	treatment	20150602033502	hard username
25363699	control	20150602033734	hard username
25364735	control	20150602035301	abuse
25364881	control	20150602035607	abuse
25364707	control	20150602035750	abuse
25362588	treatment	20150602035759	abuse
25362819	control	20150602035815	abuse
25364462	treatment	20150602040357	abuse
25327104	treatment	20150602041301	hard username
25365325	control	20150602045416	hard username
25365354	treatment	20150602045952	hard username
25360875	control	20150602050507	hard username
25359793	control	20150602050635	hard username
25357099	control	20150602051021	spam
25356863	control	20150602051105	spam
25364952	treatment	20150602052123	hard username
25361610	treatment	20150602055232	spam
25365718	treatment	20150602060700	hard username
25356095	control	20150602060958	spam
25365884	treatment	20150602062155	hard username
25365193	control	20150602062213	hard username
25363737	control	20150602062607	spam
25365974	treatment	20150602065236	hard username
25361200	treatment	20150602065607	hard username
25364032	treatment	20150602070708	hard username
25366239	control	20150602071911	hard username
25366199	control	20150602072053	other
25365560	treatment	20150602075819	hard username
25365806	treatment	20150602082512	hard username
25366625	control	20150602083842	hard username
25366805	control	20150602084410	abuse
25365987	control	20150602092651	spam
25367185	control	20150602101128	hard username
25367603	control	20150602102727	hard username
25366935	control	20150602104017	hard username
25366957	control	20150602104325	hard username
25367390	treatment	20150602104805	hard username
25367660	treatment	20150602104927	hard username
25366821	control	20150602105311	abuse
25366159	control	20150602105322	hard username
25366873	control	20150602105721	hard username
25366043	control	20150602105925	hard username
25365649	control	20150602105957	hard username
25365581	control	20150602110414	hard username
25367313	control	20150602110421	hard username
25367964	treatment	20150602111344	abuse
25363594	treatment	20150602111629	abuse
25367940	treatment	20150602111636	hard username
25360243	control	20150602112310	hard username
25352060	treatment	20150602113017	abuse
25343255	control	20150602113433	hard username
25364263	control	20150602115017	hard username
25367067	control	20150602121024	spam
25327621	control	20150602121050	spam
25344514	treatment	20150602121309	spam
25367309	control	20150602121428	spam
25366224	treatment	20150602121833	spam
25368405	control	20150602124345	abuse
25368816	treatment	20150602131325	hard username
25368790	treatment	20150602132236	abuse
25367691	control	20150602132817	abuse
25369315	control	20150602135750	hard username
25368097	control	20150602135915	abuse
25368964	treatment	20150602141033	spam
25358458	treatment	20150602143911	abuse
25369774	treatment	20150602152229	soft username
25335340	treatment	20150602152533	sockpuppetry
25369788	treatment	20150602153032	abuse
25366228	treatment	20150602154041	sockpuppetry
25370006	treatment	20150602154958	abuse
25370368	treatment	20150602160004	hard username
25370422	treatment	20150602160123	abuse
25364944	treatment	20150602160252	abuse
25360710	treatment	20150602160329	spam
25368459	control	20150602160407	spam
25366922	treatment	20150602160515	spam
25365989	control	20150602160700	spam
25365950	treatment	20150602160739	spam
25370515	control	20150602160934	abuse
25370521	control	20150602161328	sockpuppetry
25370647	control	20150602162040	abuse
25370845	control	20150602163520	sockpuppetry
25369324	treatment	20150602164112	hard username
25347779	control	20150602164427	sockpuppetry
25361315	control	20150602165020	hard username
25370961	control	20150602165133	sockpuppetry
25370854	treatment	20150602165148	hard username
25367880	treatment	20150602165710	spam
25371077	control	20150602170040	hard username
25371058	treatment	20150602170158	hard username
25371111	control	20150602170411	hard username
25371132	treatment	20150602170626	hard username
25370994	treatment	20150602171135	soft username
25371025	control	20150602171148	abuse
25370407	control	20150602171418	spam
25335697	control	20150602171957	sockpuppetry
25369903	control	20150602172146	sockpuppetry
